Elements;insertBT;deleteBT;findBT;equalBT;microSec;0;10;50;3;rand
11;0;0;0;0
22;0;0;0;0
33;0;10;0;0
44;0;0;0;0
55;6;0;0;0
66;0;5;0;0
77;4;0;0;0
88;8;0;0;0
99;10;0;0;0
110;3;6;0;0
121;6;8;0;0
132;5;8;0;0
143;7;7;0;0
154;6;13;0;0
165;6;6;0;2
176;15;15;0;0
187;7;9;0;2
198;8;8;2;0
209;8;8;0;2
220;12;11;0;0
231;9;12;0;0
242;12;12;0;0
253;13;13;1;0
264;15;15;0;0
275;17;17;0;0
286;17;19;0;0
297;11;11;0;1
308;13;13;0;0
319;14;14;1;0
330;16;15;1;0
341;17;17;0;1
352;14;14;0;0
363;17;19;0;0
374;16;17;0;0
385;17;16;0;1
396;19;19;0;0
407;22;24;0;1
418;30;30;1;1
429;26;26;0;1
440;25;27;0;0
451;20;20;0;0
462;21;22;1;0
473;21;22;0;0
484;24;25;0;1
495;21;21;0;0
506;26;27;0;0
517;21;23;0;1
528;34;34;0;0
539;28;28;0;1
550;21;22;0;1
