Elements;insertBT;deleteBT;findBT;equalBT;milliSec;0;10;50;3;auf
11;0;0;0;0
22;0;0;0;0
33;0;0;0;0
44;0;0;0;0
55;0;1;0;0
66;1;1;0;0
77;1;1;0;0
88;3;1;0;0
99;3;2;0;0
110;5;3;0;0
121;6;4;0;0
132;8;5;0;0
143;10;7;0;0
154;12;8;0;0
165;16;11;0;0
176;19;12;0;0
187;22;14;1;0
198;26;17;0;0
209;31;20;0;0
220;36;25;0;0
231;41;27;0;0
242;47;31;0;0
253;54;36;0;0
264;60;41;1;0
275;69;46;0;0
286;77;53;1;0
297;85;52;1;0
308;96;64;0;0
319;106;70;1;0
330;118;84;0;0
341;129;89;1;0
352;142;98;1;0
363;156;95;1;0
374;170;111;1;0
385;187;131;1;0
396;202;134;1;0
407;223;148;1;0
418;242;164;1;0
429;258;175;1;0
440;278;190;1;0
451;299;210;1;0
462;322;212;1;0
473;340;219;1;0
484;363;249;1;0
495;393;260;2;0
506;418;294;1;0
517;444;290;2;0
528;479;309;2;0
539;537;366;2;0
550;576;392;2;0
