Elements;insertBT;deleteBT;findBT;equalBT;microSec;0;10;50;3;auf
11;0;0;0;0
22;15;0;0;0
33;10;0;0;0
44;8;0;0;0
55;0;18;0;0
66;15;15;0;0
77;13;17;4;0
88;34;11;0;0
99;34;17;3;0
110;45;27;0;0
121;50;33;0;0
132;61;38;0;0
143;70;49;0;0
154;80;54;0;0
165;95;65;0;0
176;106;68;0;0
187;118;75;4;0
198;133;88;0;0
209;147;94;0;0
220;162;114;0;0
231;177;118;0;0
242;194;128;1;0
253;213;141;1;0
264;229;155;3;1
275;252;166;0;0
286;268;185;2;0
297;287;176;2;0
308;313;208;1;0
319;332;219;2;0
330;357;256;1;0
341;379;261;3;0
352;404;277;3;0
363;429;261;3;0
374;455;298;2;0
385;486;341;3;0
396;509;339;3;0
407;547;364;2;0
418;580;392;2;0
429;601;407;2;0
440;633;432;2;0
451;664;465;2;0
462;697;458;3;0
473;718;464;3;0
484;751;514;3;0
495;795;526;3;0
506;827;582;3;0
517;859;562;4;0
528;907;586;3;0
539;996;678;4;0
550;1047;713;4;0
